timestamp,temperature,humidity,wind_speed,solar_radiation
2024-01-01 00:00:00,22.3,71,1.98,0.0
2024-01-01 01:00:00,22.4,70,1.61,0.0
2024-01-01 02:00:00,21.6,74,1.81,0.0
2024-01-01 03:00:00,21.3,76,1.6,0.0
2024-01-01 04:00:00,21.3,78,1.65,0.0
2024-01-01 05:00:00,20.8,82,1.61,0.0
2024-01-01 06:00:00,20.0,85,1.42,0.0
2024-01-01 07:00:00,20.0,86,1.3,2.0
2024-01-01 08:00:00,22.4,75,1.94,98.0
2024-01-01 09:00:00,25.7,61,1.58,287.0
2024-01-01 10:00:00,28.7,49,1.13,473.0
2024-01-01 11:00:00,30.8,40,0.51,617.0
2024-01-01 12:00:00,31.7,38,1.04,702.0
2024-01-01 13:00:00,31.5,44,2.91,716.0
2024-01-01 14:00:00,30.9,50,3.57,659.0
2024-01-01 15:00:00,30.0,52,3.97,542.0
2024-01-01 16:00:00,29.2,51,4.1,370.0
2024-01-01 17:00:00,27.6,64,4.42,173.0
2024-01-01 18:00:00,26.0,72,4.05,22.0
2024-01-01 19:00:00,25.2,78,4.34,0.0
2024-01-01 20:00:00,24.8,77,4.4,0.0
2024-01-01 21:00:00,24.5,72,4.33,0.0
2024-01-01 22:00:00,23.7,70,2.73,0.0
2024-01-01 23:00:00,22.5,72,1.7,0.0
2024-01-02 00:00:00,21.9,73,1.77,0.0
2024-01-02 01:00:00,21.1,74,2.2,0.0
2024-01-02 02:00:00,21.6,72,1.99,0.0
2024-01-02 03:00:00,21.4,75,1.84,0.0
2024-01-02 04:00:00,21.0,77,2.0,0.0
2024-01-02 05:00:00,20.7,78,2.3,0.0
2024-01-02 06:00:00,20.3,83,1.62,0.0
2024-01-02 07:00:00,19.9,85,1.25,2.0
2024-01-02 08:00:00,22.2,75,1.62,98.0
2024-01-02 09:00:00,25.1,63,1.39,288.0
2024-01-02 10:00:00,27.9,54,1.43,475.0
2024-01-02 11:00:00,30.0,46,1.32,620.0
2024-01-02 12:00:00,31.0,44,1.75,703.0
2024-01-02 13:00:00,30.5,52,3.58,718.0
2024-01-02 14:00:00,29.9,56,4.22,662.0
2024-01-02 15:00:00,29.3,54,4.4,538.0
2024-01-02 16:00:00,28.4,57,4.82,371.0
2024-01-02 17:00:00,26.7,67,5.19,175.0
2024-01-02 18:00:00,25.3,76,5.39,23.0
2024-01-02 19:00:00,24.9,77,5.55,0.0
2024-01-02 20:00:00,24.5,75,5.31,0.0
2024-01-02 21:00:00,24.0,71,4.22,0.0
2024-01-02 22:00:00,23.3,64,2.44,0.0
2024-01-02 23:00:00,21.8,64,1.7,0.0
2024-01-03 00:00:00,21.0,64,1.7,0.0
2024-01-03 01:00:00,20.7,65,1.77,0.0
2024-01-03 02:00:00,21.1,64,2.5,0.0
2024-01-03 03:00:00,21.0,64,2.62,0.0
2024-01-03 04:00:00,20.8,66,2.8,0.0
2024-01-03 05:00:00,20.2,70,2.04,0.0
2024-01-03 06:00:00,19.4,83,1.36,0.0
2024-01-03 07:00:00,19.8,82,1.61,2.0
2024-01-03 08:00:00,22.2,73,2.2,96.0
2024-01-03 09:00:00,24.7,64,2.01,276.0
2024-01-03 10:00:00,27.2,57,1.9,464.0
2024-01-03 11:00:00,29.0,51,1.9,613.0
2024-01-03 12:00:00,30.1,48,2.62,700.0
2024-01-03 13:00:00,30.0,53,4.19,719.0
2024-01-03 14:00:00,29.4,55,4.96,664.0
2024-01-03 15:00:00,28.8,53,5.02,544.0
2024-01-03 16:00:00,27.9,53,5.2,376.0
2024-01-03 17:00:00,26.4,61,4.94,179.0
2024-01-03 18:00:00,25.1,67,4.7,23.0
2024-01-03 19:00:00,24.4,71,4.85,0.0
2024-01-03 20:00:00,24.0,73,4.59,0.0
2024-01-03 21:00:00,23.3,76,3.95,0.0
2024-01-03 22:00:00,22.3,76,1.77,0.0
2024-01-03 23:00:00,21.4,79,1.8,0.0
2024-01-04 00:00:00,21.4,80,2.69,0.0
2024-01-04 01:00:00,21.0,82,3.04,0.0
2024-01-04 02:00:00,20.7,83,3.0,0.0
2024-01-04 03:00:00,20.3,81,2.71,0.0
2024-01-04 04:00:00,19.6,83,1.9,0.0
2024-01-04 05:00:00,19.0,86,1.91,0.0
2024-01-04 06:00:00,19.7,91,1.53,0.0
2024-01-04 07:00:00,19.5,92,1.4,2.0
2024-01-04 08:00:00,21.8,79,2.2,99.0
2024-01-04 09:00:00,24.3,67,2.22,292.0
